"","Ligand","Receptor","LR"
"2559","Spp1","Itgb1","Spp1-Itgb1"
"2560","Spp1","Itgb5","Spp1-Itgb5"
"2561","Spp1","Itgb6","Spp1-Itgb6"
"2566","Tgfa","Erbb2","Tgfa-Erbb2"
"2567","Tgfb1","Tgfbr2","Tgfb1-Tgfbr2"
"2571","Tgfb2","Tgfbr2","Tgfb2-Tgfbr2"
"2575","Tgfb3","Tgfbr2","Tgfb3-Tgfbr2"
"2579","Thbs1","Itgb1","Thbs1-Itgb1"
"2580","Thbs1","Itgb3","Thbs1-Itgb3"
"2581","Thbs2","Itgb1","Thbs2-Itgb1"
"2582","Thbs2","Itgb3","Thbs2-Itgb3"
"2583","Thbs3","Itgb1","Thbs3-Itgb1"
"2584","Thbs3","Itgb3","Thbs3-Itgb3"
"2585","Thbs4","Itgb1","Thbs4-Itgb1"
"2586","Thbs4","Itgb3","Thbs4-Itgb3"
"2587","Thy1","Itgb2","Thy1-Itgb2"
"2589","Thy1","Itgb3","Thy1-Itgb3"
"2590","Tnc","Itgb1","Tnc-Itgb1"
"2592","Tnc","Itgb3","Tnc-Itgb3"
"2594","Tnc","Itgb6","Tnc-Itgb6"
"2595","Tnn","Itgb1","Tnn-Itgb1"
"2597","Tnn","Itgb3","Tnn-Itgb3"
"2599","Tnn","Itgb6","Tnn-Itgb6"
"2600","Tnr","Itgb1","Tnr-Itgb1"
"2602","Tnr","Itgb3","Tnr-Itgb3"
"2604","Tnr","Itgb6","Tnr-Itgb6"
"2605","Tnxb","Itgb1","Tnxb-Itgb1"
"2607","Tnxb","Itgb3","Tnxb-Itgb3"
"2609","Tnxb","Itgb6","Tnxb-Itgb6"
"2610","Tslp","Crlf2","Tslp-Crlf2"
"2611","Ulbp1","Hcst","Ulbp1-Hcst"
"2612","Vcam1","Itgb1","Vcam1-Itgb1"
"2614","Vcam1","Itgb7","Vcam1-Itgb7"
"2615","Vtn","Itgb1","Vtn-Itgb1"
"2617","Vtn","Itgb3","Vtn-Itgb3"
"2619","Vtn","Itgb5","Vtn-Itgb5"
"2620","Vtn","Itgb8","Vtn-Itgb8"
"2621","Vwf","Itgb3","Vwf-Itgb3"
"2623","Wnt1","Lrp5","Wnt1-Lrp5"
"2633","Wnt1","Lrp6","Wnt1-Lrp6"
"2643","Wnt10a","Lrp5","Wnt10a-Lrp5"
"2653","Wnt10a","Lrp6","Wnt10a-Lrp6"
"2663","Wnt10b","Lrp5","Wnt10b-Lrp5"
"2673","Wnt10b","Lrp6","Wnt10b-Lrp6"
"2683","Wnt16","Lrp5","Wnt16-Lrp5"
"2693","Wnt16","Lrp6","Wnt16-Lrp6"
"2703","Wnt2","Lrp5","Wnt2-Lrp5"
"2713","Wnt2","Lrp6","Wnt2-Lrp6"
"2723","Wnt2b","Lrp5","Wnt2b-Lrp5"
"2733","Wnt2b","Lrp6","Wnt2b-Lrp6"
"2743","Wnt3","Lrp5","Wnt3-Lrp5"
"2753","Wnt3","Lrp6","Wnt3-Lrp6"
"2763","Wnt3a","Lrp5","Wnt3a-Lrp5"
"2773","Wnt3a","Lrp6","Wnt3a-Lrp6"
"2783","Wnt4","Lrp5","Wnt4-Lrp5"
"2793","Wnt4","Lrp6","Wnt4-Lrp6"
"2803","Wnt6","Lrp5","Wnt6-Lrp5"
"2813","Wnt6","Lrp6","Wnt6-Lrp6"
"2823","Wnt7a","Lrp5","Wnt7a-Lrp5"
"2833","Wnt7a","Lrp6","Wnt7a-Lrp6"
"2843","Wnt7b","Lrp5","Wnt7b-Lrp5"
"2853","Wnt7b","Lrp6","Wnt7b-Lrp6"
"2863","Wnt8a","Lrp5","Wnt8a-Lrp5"
"2873","Wnt8a","Lrp6","Wnt8a-Lrp6"
"2883","Wnt8b","Lrp5","Wnt8b-Lrp5"
"2893","Wnt8b","Lrp6","Wnt8b-Lrp6"
"2903","Wnt9a","Lrp5","Wnt9a-Lrp5"
"2913","Wnt9a","Lrp6","Wnt9a-Lrp6"
"2923","Wnt9b","Lrp5","Wnt9b-Lrp5"
"2933","Wnt9b","Lrp6","Wnt9b-Lrp6"
