"","Ligand","Receptor","LR"
"1754","Efnb1","Ephb2","Efnb1-Ephb2"
"1755","Efnb1","Ephb3","Efnb1-Ephb3"
"1756","Efnb1","Ephb4","Efnb1-Ephb4"
"1757","Efnb2","Epha4","Efnb2-Epha4"
"1758","Efnb2","Ephb1","Efnb2-Ephb1"
"1759","Efnb2","Ephb2","Efnb2-Ephb2"
"1760","Efnb2","Ephb3","Efnb2-Ephb3"
"1761","Efnb2","Ephb4","Efnb2-Ephb4"
"1762","Efnb3","Epha4","Efnb3-Epha4"
"1763","Efnb3","Ephb1","Efnb3-Ephb1"
"1764","Efnb3","Ephb2","Efnb3-Ephb2"
"1765","Efnb3","Ephb3","Efnb3-Ephb3"
"1766","Efnb3","Ephb4","Efnb3-Ephb4"
"1767","Efnb3","Ephb6","Efnb3-Ephb6"
"1768","Esam","Esam","Esam-Esam"
"1769","Gp1ba","Itgam","Gp1ba-Itgam"
"1770","Icam1","Itgax","Icam1-Itgax"
"1771","Icam1","Itgal","Icam1-Itgal"
"1772","Icam2","Itgal","Icam2-Itgal"
"1773","Icam1","Itgam","Icam1-Itgam"
"1774","Icam2","Itgam","Icam2-Itgam"
"1780","Icam1","Spn","Icam1-Spn"
"1781","Icam5","Cd209a","Icam5-Cd209a"
"1782","Icam5","Cd209f","Icam5-Cd209f"
"1783","Icosl","Icos","Icosl-Icos"
"1784","Icosl","Cd28","Icosl-Cd28"
"1785","Icosl","Ctla4","Icosl-Ctla4"
"1786","Itgb2","Cd226","Itgb2-Cd226"
"1787","Itgb2","Icam1","Itgb2-Icam1"
"1788","Itgb2","Icam2","Itgb2-Icam2"
"1789","Itgb2l","Cd226","Itgb2l-Cd226"
"1790","Itgb2l","Icam1","Itgb2l-Icam1"
"1791","Itgb2l","Icam2","Itgb2l-Icam2"
"1792","Jam2","Itga3","Jam2-Itga3"
"1793","Jam2","Itgav","Jam2-Itgav"
"1794","Jam3","Itgam","Jam3-Itgam"
"1795","Jam1","Itgal","Jam1-Itgal"
"1797","Jam2","Jam3","Jam2-Jam3"
"1798","F11r","F11r","F11r-F11r"
"1799","F11r","Jam2","F11r-Jam2"
"1800","F11r","Jam3","F11r-Jam3"
"1801","Jam2","F11r","Jam2-F11r"
"1802","Jam2","Jam2","Jam2-Jam2"
"1803","Jam3","F11r","Jam3-F11r"
"1804","Jam3","Jam2","Jam3-Jam2"
"1805","Jam3","Jam3","Jam3-Jam3"
"1806","L1cam","Itgav","L1cam-Itgav"
"1807","L1cam","Itga4","L1cam-Itga4"
"1808","L1cam","L1cam","L1cam-L1cam"
"1809","Lair1","Pira2","Lair1-Pira2"
"1810","Lck","Cd8a","Lck-Cd8a"
"1811","Madcam1","Itga4","Madcam1-Itga4"
"1812","Mag","Mag","Mag-Mag"
"1813","H2-t23","Klrd1","H2-t23-Klrd1"
"1815","H2-m2","Cd8a","H2-m2-Cd8a"
